TargetName	Module	CodeClass	GeneID	SystematicName	Negative	DetectedSegments	DetectionRate
A2M	Hs_R_NGS_WTA_v1.0	Endogenous	2	A2M	FALSE	199	0.9900497512437811
ACADM	Hs_R_NGS_WTA_v1.0	Endogenous	34	ACADM	FALSE	127	0.6318407960199005
ACADS	Hs_R_NGS_WTA_v1.0	Endogenous	35	ACADS	FALSE	125	0.6218905472636815
ACAT1	Hs_R_NGS_WTA_v1.0	Endogenous	38	ACAT1	FALSE	155	0.7711442786069652
ACVRL1	Hs_R_NGS_WTA_v1.0	Endogenous	94	ACVRL1	FALSE	134	0.6666666666666666
PSEN1	Hs_R_NGS_WTA_v1.0	Endogenous	5663	PSEN1	FALSE	140	0.6965174129353234
SGCA	Hs_R_NGS_WTA_v1.0	Endogenous	6442	SGCA	FALSE	104	0.5174129353233831
AGL	Hs_R_NGS_WTA_v1.0	Endogenous	178	AGL	FALSE	22	0.10945273631840796
AGXT	Hs_R_NGS_WTA_v1.0	Endogenous	189	AGXT	FALSE	33	0.16417910447761194
ABCD1	Hs_R_NGS_WTA_v1.0	Endogenous	215	ABCD1	FALSE	28	0.13930348258706468
ALDOB	Hs_R_NGS_WTA_v1.0	Endogenous	229	ALDOB	FALSE	154	0.7661691542288557
APC	Hs_R_NGS_WTA_v1.0	Endogenous	324	APC	FALSE	66	0.3283582089552239
APOA1	Hs_R_NGS_WTA_v1.0	Endogenous	335	APOA1	FALSE	25	0.12437810945273632
APOC3	Hs_R_NGS_WTA_v1.0	Endogenous	345	APOC3	FALSE	98	0.48756218905472637
APOE	Hs_R_NGS_WTA_v1.0	Endogenous	348	APOE	FALSE	176	0.8756218905472637
ARSB	Hs_R_NGS_WTA_v1.0	Endogenous	411	ARSB	FALSE	54	0.26865671641791045
ASL	Hs_R_NGS_WTA_v1.0	Endogenous	435	ASL	FALSE	125	0.6218905472636815
ASPA	Hs_R_NGS_WTA_v1.0	Endogenous	443	ASPA	FALSE	46	0.22885572139303484
ASS1	Hs_R_NGS_WTA_v1.0	Endogenous	445	ASS1	FALSE	196	0.9751243781094527
ATM	Hs_R_NGS_WTA_v1.0	Endogenous	472	ATM	FALSE	147	0.7313432835820896
ATP7A	Hs_R_NGS_WTA_v1.0	Endogenous	538	ATP7A	FALSE	37	0.18407960199004975
ATP7B	Hs_R_NGS_WTA_v1.0	Endogenous	540	ATP7B	FALSE	32	0.15920398009950248
BLM	Hs_R_NGS_WTA_v1.0	Endogenous	641	BLM	FALSE	31	0.15422885572139303
BRCA2	Hs_R_NGS_WTA_v1.0	Endogenous	675	BRCA2	FALSE	38	0.1890547263681592
BTD	Hs_R_NGS_WTA_v1.0	Endogenous	686	BTD	FALSE	103	0.5124378109452736
SERPING1	Hs_R_NGS_WTA_v1.0	Endogenous	710	SERPING1	FALSE	201	1
C3	Hs_R_NGS_WTA_v1.0	Endogenous	718	C3	FALSE	133	0.6616915422885572
CA2	Hs_R_NGS_WTA_v1.0	Endogenous	760	CA2	FALSE	181	0.900497512437811
CACNA1S	Hs_R_NGS_WTA_v1.0	Endogenous	779	CACNA1S	FALSE	21	0.1044776119402985
CBS	Hs_R_NGS_WTA_v1.0	Endogenous	102724560, 875	CBS, CBSL	FALSE	126	0.6268656716417911
CD36	Hs_R_NGS_WTA_v1.0	Endogenous	948	CD36	FALSE	26	0.12935323383084577
CDK4	Hs_R_NGS_WTA_v1.0	Endogenous	1019	CDK4	FALSE	156	0.7761194029850746
CDKN1C	Hs_R_NGS_WTA_v1.0	Endogenous	1028	CDKN1C	FALSE	192	0.9552238805970149
CHRNE	Hs_R_NGS_WTA_v1.0	Endogenous	1145	CHRNE	FALSE	47	0.23383084577114427
LYST	Hs_R_NGS_WTA_v1.0	Endogenous	1130	LYST	FALSE	122	0.6069651741293532
ERCC8	Hs_R_NGS_WTA_v1.0	Endogenous	1161	ERCC8	FALSE	25	0.12437810945273632
CLCN5	Hs_R_NGS_WTA_v1.0	Endogenous	1184	CLCN5	FALSE	35	0.17412935323383086
CLN3	Hs_R_NGS_WTA_v1.0	Endogenous	1201	CLN3	FALSE	93	0.4626865671641791
CNGA1	Hs_R_NGS_WTA_v1.0	Endogenous	1259	CNGA1	FALSE	25	0.12437810945273632
COL1A1	Hs_R_NGS_WTA_v1.0	Endogenous	1277	COL1A1	FALSE	51	0.2537313432835821
COL1A2	Hs_R_NGS_WTA_v1.0	Endogenous	1278	COL1A2	FALSE	181	0.900497512437811
COL4A3	Hs_R_NGS_WTA_v1.0	Endogenous	1285	COL4A3	FALSE	176	0.8756218905472637
COL5A1	Hs_R_NGS_WTA_v1.0	Endogenous	1289	COL5A1	FALSE	54	0.26865671641791045
COMP	Hs_R_NGS_WTA_v1.0	Endogenous	1311	COMP	FALSE	25	0.12437810945273632
CP	Hs_R_NGS_WTA_v1.0	Endogenous	1356	CP	FALSE	67	0.3333333333333333
CPT2	Hs_R_NGS_WTA_v1.0	Endogenous	1376	CPT2	FALSE	82	0.4079601990049751
CST3	Hs_R_NGS_WTA_v1.0	Endogenous	1471	CST3	FALSE	199	0.9900497512437811
CSTB	Hs_R_NGS_WTA_v1.0	Endogenous	1476	CSTB	FALSE	195	0.9701492537313433
CYP17A1	Hs_R_NGS_WTA_v1.0	Endogenous	1586	CYP17A1	FALSE	55	0.2736318407960199
CYP1B1	Hs_R_NGS_WTA_v1.0	Endogenous	1545	CYP1B1	FALSE	167	0.8308457711442786
CYP2D6	Hs_R_NGS_WTA_v1.0	Endogenous	101929829, 1565, 107987478, 107987479	LOC101929829, LOC107987479, LOC107987478, CYP2D6	FALSE	67	0.3333333333333333
DDB2	Hs_R_NGS_WTA_v1.0	Endogenous	1643	DDB2	FALSE	40	0.19900497512437812
DLD	Hs_R_NGS_WTA_v1.0	Endogenous	1738	DLD	FALSE	127	0.6318407960199005
SLC26A2	Hs_R_NGS_WTA_v1.0	Endogenous	1836	SLC26A2	FALSE	31	0.15422885572139303
TOR1A	Hs_R_NGS_WTA_v1.0	Endogenous	1861	TOR1A	FALSE	63	0.31343283582089554
EMD	Hs_R_NGS_WTA_v1.0	Endogenous	2010	EMD	FALSE	168	0.835820895522388
EPB42	Hs_R_NGS_WTA_v1.0	Endogenous	2038	EPB42	FALSE	77	0.38308457711442784
EPHX1	Hs_R_NGS_WTA_v1.0	Endogenous	2052	EPHX1	FALSE	191	0.9502487562189055
EPOR	Hs_R_NGS_WTA_v1.0	Endogenous	2057	EPOR	FALSE	44	0.21890547263681592
